Conv1,Conv2,Dense,Loss,Accuracy,Model Params,tflite Size,Loss_1,Loss_2,Loss_3,Loss_4,Loss_5,Accuracy_1,Accuracy_2,Accuracy_3,Accuracy_4,Accuracy_5
8,12,12,0.526794219,0.725779033,1533,9.392,0.526794219,0.551491797,0.524978638,0.537849724,0.511714756,0.725779033,0.7266289,0.725212455,0.7266289,0.725212455
8,12,16,0.452222049,0.768838525,1737,10.208,0.452222049,0.484029919,0.470055938,0.46219191,0.434518278,0.768838525,0.737960339,0.754957497,0.756373942,0.787535429
8,12,24,0.531834698,0.725212455,2145,11.856,0.531834698,0.561893702,0.547313988,0.526955187,0.52037251,0.725212455,0.725212455,0.725212455,0.725212455,0.725212455
8,12,32,0.483369029,0.750424922,2553,13.488,0.483369029,0.51786685,0.480718195,0.48355639,0.480929673,0.750424922,0.725212455,0.737960339,0.736543894,0.735127449
8,12,48,0.455191982,0.780453265,3369,16.752,0.455191982,0.46831125,0.458455801,0.455144256,0.433130026,0.780453265,0.767705381,0.786118984,0.780453265,0.797450423
8,12,64,0.500788021,0.725495744,4185,20.016,0.500788021,0.544151485,0.495485336,0.495179772,0.484183669,0.725495744,0.725212455,0.7266289,0.7266289,0.72379601
8,12,80,0.5033481,0.730311608,5001,23.28,0.5033481,0.515710652,0.535489023,0.4969033,0.485123903,0.730311608,0.725212455,0.725212455,0.733711064,0.735127449
8,12,96,0.500582016,0.7266289,5817,26.548,0.500582016,0.521093369,0.500894248,0.494247735,0.495047003,0.7266289,0.725212455,0.7266289,0.728045344,0.7266289
8,12,128,0.508549678,0.728045321,7449,33.076,0.508549678,0.531897426,0.536579013,0.507519543,0.488189667,0.728045321,0.7266289,0.72946173,0.7266289,0.72946173
8,12,160,0.499684775,0.72974503,9081,39.604,0.499684775,0.527793169,0.507258236,0.495192438,0.487657279,0.72974503,0.7266289,0.72946173,0.730878174,0.72946173
8,16,12,0.477721328,0.759206808,2017,11.348,0.477721328,0.490651429,0.508292496,0.472836971,0.477958232,0.759206808,0.733711064,0.7266289,0.794617593,0.743626058
8,16,16,0.438676208,0.773937678,2285,12.42,0.438676208,0.464965373,0.445451379,0.440047234,0.426112413,0.773937678,0.737960339,0.763456106,0.766288936,0.787535429
8,16,24,0.453159678,0.767138815,2821,14.564,0.453159678,0.484220654,0.458112717,0.469580978,0.434648156,0.767138815,0.732294619,0.760623217,0.743626058,0.798866868
8,16,32,0.523732853,0.724645889,3357,16.708,0.523732853,0.563328266,0.511467576,0.509927452,0.516029716,0.724645889,0.725212455,0.725212455,0.725212455,0.7266289
8,16,48,0.513682956,0.724079311,4429,20.996,0.513682956,0.535243034,0.51541537,0.525423348,0.497225463,0.724079311,0.725212455,0.72379601,0.719546735,0.7266289
8,16,64,0.508074296,0.730878174,5501,25.284,0.508074296,0.564125896,0.504143357,0.504284799,0.501083791,0.730878174,0.725212455,0.725212455,0.7266289,0.735127449
8,16,80,0.512786263,0.727762043,6573,29.572,0.512786263,0.559315264,0.515822232,0.50886637,0.493379295,0.727762043,0.7266289,0.7266289,0.728045344,0.728045344
8,16,96,0.484223562,0.729461741,7645,33.86,0.484223562,0.495230436,0.480241805,0.474690348,0.485754073,0.729461741,0.72946173,0.730878174,0.72946173,0.728045344
8,16,128,0.470077688,0.735977328,9789,42.436,0.470077688,0.493659079,0.472524077,0.474526584,0.459843367,0.735977328,0.730878174,0.72946173,0.733711064,0.732294619
8,16,160,0.510255146,0.726912177,11933,51.012,0.510255146,0.549710095,0.505298257,0.519465148,0.492405713,0.726912177,0.725212455,0.72379601,0.7266289,0.7266289
8,24,12,0.404411137,0.80934844,4329,20.596,0.404411137,0.448331654,0.40398711,0.412888527,0.388529241,0.80934844,0.797450423,0.808781862,0.807365417,0.815864027
8,24,16,0.490914392,0.725212455,4725,22.18,0.490914392,0.579754591,0.511072576,0.482166618,0.451518297,0.725212455,0.725212455,0.725212455,0.725212455,0.725212455
8,24,24,0.496062386,0.728895175,5517,25.348,0.496062386,0.524093211,0.489827365,0.491504312,0.475470603,0.728895175,0.725212455,0.7266289,0.730878174,0.72946173
8,24,32,0.430427432,0.787535405,6309,28.516,0.430427432,0.486969978,0.413684309,0.437445581,0.410800695,0.787535405,0.752124667,0.797450423,0.777620375,0.797450423
8,24,48,0.47173726,0.745892346,7893,34.852,0.47173726,0.499645799,0.490764767,0.472251743,0.470053524,0.745892346,0.725212455,0.735127449,0.733711064,0.749291778
8,24,64,0.472386533,0.73597734,9477,41.188,0.472386533,0.497451812,0.490620255,0.471831411,0.466934115,0.73597734,0.72946173,0.7266289,0.732294619,0.740793228
8,24,80,0.475135708,0.755807364,11061,47.524,0.475135708,0.548650026,0.479447752,0.472702056,0.439443916,0.755807364,0.725212455,0.730878174,0.72946173,0.800283313
8,24,96,0.504055232,0.731444752,12645,53.86,0.504055232,0.579728067,0.497356087,0.482844532,0.485297799,0.731444752,0.725212455,0.725212455,0.7266289,0.7266289
8,24,128,0.455135965,0.766572237,15813,66.532,0.455135965,0.504675508,0.475398809,0.441966623,0.44110325,0.766572237,0.7266289,0.745042503,0.777620375,0.769121826
8,24,160,0.470887518,0.732294595,18981,79.204,0.470887518,0.498584121,0.483013779,0.469135821,0.456746489,0.732294595,0.72946173,0.72946173,0.72946173,0.735127449
8,32,16,0.472453427,0.739376771,6269,28.356,0.472453427,0.501599014,0.488643885,0.470556468,0.468600035,0.739376771,0.725212455,0.725212455,0.725212455,0.763456106
8,32,24,0.416825986,0.798016989,7317,32.548,0.416825986,0.504590392,0.429789633,0.411085278,0.380890757,0.798016989,0.725212455,0.807365417,0.804532588,0.825779021
8,32,32,0.375654918,0.820679891,8365,36.74,0.375654918,0.417496592,0.400985539,0.365965456,0.364080638,0.820679891,0.817280471,0.791784704,0.83427763,0.827195466
8,32,48,0.348571384,0.843909335,10461,45.124,0.348571384,0.400931031,0.363414943,0.35738495,0.31897372,0.843909335,0.821529746,0.818696856,0.83711046,0.868271947
8,32,64,0.483682096,0.728895175,12557,53.508,0.483682096,0.517919421,0.490850389,0.471748561,0.46917063,0.728895175,0.72379601,0.722379625,0.730878174,0.736543894
8,32,80,0.510887295,0.725779033,14653,61.892,0.510887295,0.542475164,0.552118957,0.495192051,0.489780277,0.725779033,0.725212455,0.725212455,0.725212455,0.7266289
8,32,96,0.480083138,0.740509903,16749,70.276,0.480083138,0.494017124,0.519312501,0.481543988,0.455044836,0.740509903,0.725212455,0.725212455,0.736543894,0.742209613
8,32,128,0.443748999,0.777620411,20941,87.044,0.443748999,0.493940711,0.466671169,0.427545577,0.404456645,0.777620411,0.7266289,0.756373942,0.787535429,0.822946191
8,32,160,0.486684114,0.727762032,25133,103.812,0.486684114,0.525051892,0.487055719,0.48289153,0.477845609,0.727762032,0.725212455,0.72379601,0.72946173,0.728045344
8,48,24,0.267815781,0.888668549,10917,46.948,0.267815781,0.338139653,0.287759095,0.262233794,0.228084728,0.888668549,0.844192624,0.872521222,0.885269105,0.919263482
8,48,32,0.416497654,0.798583567,12477,53.188,0.416497654,0.485556751,0.44221583,0.394543052,0.387160569,0.798583567,0.725212455,0.803116143,0.798866868,0.83427763
8,48,48,0.365219212,0.828045321,15597,65.668,0.365219212,0.401646078,0.349270791,0.371682733,0.371876448,0.828045321,0.787535429,0.83711046,0.83144474,0.841359794
8,48,64,0.465819943,0.745042479,18717,78.148,0.465819943,0.486231506,0.464172453,0.468371868,0.457055032,0.745042479,0.72379601,0.735127449,0.730878174,0.771954656
8,48,80,0.302504951,0.867705369,21837,90.628,0.302504951,0.394976616,0.304277778,0.279356033,0.270169735,0.867705369,0.813031137,0.864022672,0.885269105,0.878186941
8,48,96,0.446976537,0.75637393,24957,103.108,0.446976537,0.468616784,0.471010923,0.439257741,0.423589259,0.75637393,0.72946173,0.728045344,0.742209613,0.790368259
8,48,128,0.367501229,0.8243626,31197,128.068,0.367501229,0.457053035,0.386106551,0.341108769,0.320268691,0.8243626,0.746458948,0.810198307,0.83144474,0.872521222
8,48,160,0.468117219,0.743626058,37437,153.028,0.468117219,0.490914881,0.480936021,0.474550962,0.447661698,0.743626058,0.7266289,0.730878174,0.730878174,0.77620399
8,64,32,0.384536898,0.808215284,16589,69.672,0.384536898,0.487642497,0.450361043,0.344154269,0.348560661,0.808215284,0.730878174,0.753541052,0.849858344,0.83144474
8,64,48,0.283833295,0.869405103,20733,86.248,0.283833295,0.338178128,0.295704126,0.288887233,0.24905923,0.869405103,0.824362636,0.868271947,0.876770556,0.88668555
